Country,Year,total_population,net_migration
Pakistan,2007,184493231.0,576349.0
Pakistan,2008,189499113.0,-140746.0
Pakistan,2009,194376534.0,-18298.0
Pakistan,2010,199239047.0,-431902.0
Pakistan,2011,203746065.0,-890633.0
Pakistan,2012,207667125.0,-1647989.0
Pakistan,2013,211073978.0,-1906319.0
Pakistan,2014,214264647.0,-2037920.0
Pakistan,2015,217290883.0,-2172162.0
Pakistan,2016,220138869.0,-2290411.0
Pakistan,2017,223273967.0,-1574585.0
Pakistan,2018,226928892.0,-1309611.0
Pakistan,2019,230800899.0,-1177220.0
Pakistan,2020,235001746.0,-559291.0
Pakistan,2021,239477801.0,-565673.0
Pakistan,2022,243700667.0,-1322625.0
Pakistan,2023,247504495.0,-1619557.0
Pakistan,2024,251269164.0,-1401173.0
Sri Lanka,1960,9661389.0,-12610.0
Sri Lanka,1961,9899372.0,-10144.0
Sri Lanka,1962,10143754.0,-8909.0
Sri Lanka,1963,10395040.0,-8118.0
Sri Lanka,1964,10653397.0,-7614.0
Sri Lanka,1965,10916965.0,-7249.0
Sri Lanka,1966,11183928.0,-6794.0
Sri Lanka,1967,11457328.0,-6696.0
Sri Lanka,1968,11736088.0,-7163.0
Sri Lanka,1969,12013858.0,-10152.0
Sri Lanka,1970,12287110.0,-16299.0
Sri Lanka,1971,12551910.0,-22021.0
Sri Lanka,1972,12809205.0,-27071.0
Sri Lanka,1973,13060916.0,-30582.0
Sri Lanka,1974,13305693.0,-33979.0
Sri Lanka,1975,13548984.0,-37475.0
Sri Lanka,1976,13796770.0,-41258.0
Sri Lanka,1977,14049371.0,-45383.0
Sri Lanka,1978,14310128.0,-50189.0
Sri Lanka,1979,14579614.0,-57683.0
Sri Lanka,1980,14847974.0,-63541.0
Sri Lanka,1981,15099414.0,-89824.0
Sri Lanka,1982,15286567.0,-163987.0
Sri Lanka,1983,15388794.0,-209362.0
Sri Lanka,1984,15441860.0,-225450.0
Sri Lanka,1985,15544154.0,-80950.0
Sri Lanka,1986,15731256.0,-26460.0
Sri Lanka,1987,15916576.0,-63105.0
Sri Lanka,1988,16078621.0,-58415.0
Sri Lanka,1989,16248557.0,-33305.0
Sri Lanka,1990,16352458.0,-195736.0
Sri Lanka,1991,16475354.0,-1047.0
Sri Lanka,1992,16739284.0,88542.0
Sri Lanka,1993,17025918.0,36232.0
Sri Lanka,1994,17275773.0,8323.0
Sri Lanka,1995,17564068.0,117416.0
Sri Lanka,1996,17905018.0,127236.0
Sri Lanka,1997,18248200.0,135636.0
Sri Lanka,1998,18596003.0,150724.0
Sri Lanka,1999,18944731.0,138799.0
Sri Lanka,2000,19293054.0,123894.0
Sri Lanka,2001,19600362.0,19273.0
Sri Lanka,2002,19805752.0,-105718.0
Sri Lanka,2003,19951521.0,-107573.0
Sri Lanka,2004,20087605.0,-84795.0
Sri Lanka,2005,20216524.0,-118594.0
Sri Lanka,2006,20352411.0,-107045.0
Sri Lanka,2007,20492545.0,-109695.0
Sri Lanka,2008,20629378.0,-97144.0
Sri Lanka,2009,20756435.0,-81130.0
Sri Lanka,2010,20879089.0,-98060.0
Sri Lanka,2011,21009048.0,-90839.0
Sri Lanka,2012,21169458.0,-41955.0
Sri Lanka,2013,20585000.0,-37754.0
Sri Lanka,2014,20778000.0,-33672.0
Sri Lanka,2015,20970000.0,-29797.0
Sri Lanka,2016,21209000.0,-18388.0
Sri Lanka,2017,21453000.0,-22324.0
Sri Lanka,2018,21670000.0,-28607.0
Sri Lanka,2019,21803000.0,-28426.0
Sri Lanka,2020,21919000.0,-29875.0
Sri Lanka,2021,22156000.0,-29586.0
Sri Lanka,2022,22181000.0,-27435.0
Sri Lanka,2023,22037000.0,-28011.0
Sri Lanka,2024,21916000.0,-27245.0
